School Name,Number of students,Scheduled Date
LegitiMATE Frankston March S3,7,28/03/2019
F2D Student Voices Forum- Parkdale SC,20,28/03/2019
Parkdale Secondary College,300,28/03/2019
Kalianna School Bendigo,20,27/03/2019
LegitiMATE Frankston March S2,7,26/03/2019
Bendigo TAFE,40,26/03/2019
Drouin Secondary College,166,25/03/2019
LegitiMATE Preston Mar S3,8,21/03/2019
Djerriwarrh Community and Education Services,25,21/03/2019
LegitiMATE Frankston March S1,7,20/03/2019
LegitiMATE Preston Mar S2,8,19/03/2019
Wyndham Central College,176,19/03/2019
Edenhope College,17,19/03/2019
Goroke P12 College,4,19/03/2019
Padua College,410,18/03/2019
LegitiMATE Preston Mar S1,8,15/03/2019
Murtoa College,40,15/03/2019
Somerville Secondary College,36,05/03/2019
Flinders Christian Community College,75,04/03/2019
Cann River p/12 College,6,27/02/2019
LM Shepparton Feb S2,4,26/02/2019
LM Wodonga Feb S2,4,21/02/2019
LM Shepparton Feb S1,4,20/02/2019
LM Wodonga Feb S1,4,20/02/2019
Birchip P12 College,18,19/02/2019
Wycheproof P12 College,4,19/02/2019
Donald High School,20,19/02/2019
John Paul College,130,19/02/2019
Jackson School,40,18/02/2019
LM Ringwood_BoxHill Feb S3,5,14/02/2019
Parade College (Preston),50,14/02/2019
LM Broadmeadows Feb S3,6,13/02/2019
LM Ringwood_BoxHill Feb S2,5,12/02/2019
Macleod College,65,08/02/2019
LM Broadmeadows Feb S2,6,07/02/2019
LM Ringwood_BoxHill Feb S1,5,06/02/2019
LM Broadmedows Session 1,6,05/02/2019
Camberwell Girls Grammar School,80,01/02/2019
F2D Whole Staff Meeting #2,10,31/01/2019
F2D Whole Staff Meeting #1,17,29/01/2019
The Hamilton and Alexandra College,58,11/12/2018
Ruyton Girls' School,88,07/12/2018
Mount Ridley College,225,06/12/2018
Marcellin College,240,04/12/2018
Ballarat Grammar,170,04/12/2018
Ballarat Secondary College Woodmans Hill Campus,43,03/12/2018
The King David School,39,30/11/2018
Dandenong High School,350,29/11/2018
Cohuna Secondary College,42,28/11/2018
McKinnon Secondary College,280,27/11/2018
Korowa Anglican Girls' School,80,26/11/2018
Wangaratta High School,120,23/11/2018
Tintern Grammar,95,23/11/2018
Thornbury High School,120,23/11/2018
Devirstat Youth Services,20,22/11/2018
Camberwell Grammar School,175,22/11/2018
Point Cook Senior,300,21/11/2018
Geelong Baptist College,31,20/11/2018
Melbourne High School,364,19/11/2018
Sunshine College,140,14/11/2018
Kerang Techncial High School,40,08/11/2018
Rutherglen High School,40,08/11/2018
Charles La Trobe College,46,08/11/2018
Ringwood Sec College,25,29/10/2018
Cragieburn Secondary College,125,29/10/2018
Carwatha College,75,25/10/2018
Belgrave Heights Christian School,70,25/10/2018
Cathedral College,35,24/10/2018
Emerson School,60,23/10/2018
Wantirna College,220,23/10/2018
Wallan Secondary College,80,22/10/2018
Sacred Heart College,235,22/10/2018
Penola Catholic College,270,19/10/2018
Bundoora Secondary College,60,18/10/2018
Loyola College,230,16/10/2018
Rossbourne School,55,15/10/2018
Kolbe Catholic College,165,12/10/2018
North Geelong Secondary College,140,11/10/2018
Balcombe Grammar School,87,10/10/2018
East Loddon P-12,13,21/09/2018
Marian College Ararat,105,21/09/2018
Boort District school,20,20/09/2018
Hume Central Secondary College,170,20/09/2018
Berwick Grammar School,29,19/09/2018
St Kevin's College,255,19/09/2018
Broadford Secondary College,79,18/09/2018
Cobden Technical School,42,18/09/2018
Chairo Christian School,65,17/09/2018
Sunbury Downs College,120,14/09/2018
Sirius College Keysborough,24,13/09/2018
Sacred Heart College Kyneton,124,13/09/2018
Sunbury College,162,13/09/2018
Wedderburn College,30,12/09/2018
KILBREDA COLLEGE,145,11/09/2018
Mordialloc College,102,11/09/2018
Ararat College,50,10/09/2018
Mornington Secondary College,267,10/09/2018
Wodonga Senior Secondary College,300,06/09/2018
Toorak College,71,05/09/2018
Mansfield Secondary College,73,05/09/2018
Victory Lutheran College,43,04/09/2018
Daylesford Secondary College,66,04/09/2018
Gisborne Secondary College,170,04/09/2018
Cornish College,63,04/09/2018
Catholic Regional College Melton,150,03/09/2018
Bacchus Marsh College,120,03/09/2018
Salesian College,200,31/08/2018
Catholic College Wodonga,150,30/08/2018
Maffra Secondary College,88,29/08/2018
Dromana Secondary College,220,28/08/2018
Mount St Josephs Girls College,120,27/08/2018
Rushworth P-12 College,18,24/08/2018
William Ruthven Secondary College,60,23/08/2018
Mount Erin Secondary College,111,23/08/2018
Doncaster Secondary College,200,22/08/2018
Northcote High School,300,21/08/2018
Emmanuel College,44,20/08/2018
Bayside P-12 College,125,17/08/2018
Essendon Keilor College,16,17/08/2018
Catholic College Sale,130,17/08/2018
Diamond Valley College,132,17/08/2018
St Helena Secondary College,250,16/08/2018
Victoria University  Polytechnic (WMEP),120,15/08/2018
ACSO Bendigo,20,15/08/2018
Skill Invest Dandenong,40,14/08/2018
Sirius College Meadow Fair,64,14/08/2018
Dimboola Memorial Secondary College,24,10/08/2018
Swinburne TAFE Croydon Campus,20,10/08/2018
Forest Hill College,95,10/08/2018
Tallangatta Secondary College,65,08/08/2018
Aquinas College,35,07/08/2018
Ivanhoe Grammar School Plenty Campus,75,07/08/2018
Swinburme TAFE Wantirna Campus,20,06/08/2018
Mount Eliza Secondary College,90,06/08/2018
Tarneit Senior College,200,06/08/2018
Mercy Regional College,70,03/08/2018
Ilim College,77,03/08/2018
Patterson River Secondary College,180,02/08/2018
Peninsula Grammar,168,01/08/2018
Frankston High School,280,31/07/2018
Western Heights Secondary College,83,31/07/2018
Rosebud Secondary College,160,30/07/2018
Keysborough Secondary College Banksia Campus,165,30/07/2018
Tyrell College,18,25/07/2018
Williamstown High School,250,25/07/2018
Mullauna College,80,25/07/2018
Chisholm Institute Frankston,20,24/07/2018
Lalor North College,75,24/07/2018
Kyneton Secondary College,66,24/07/2018
Keysborough College,140,23/07/2018
Keilor Downs College,200,23/07/2018
Sacred Heart College Yarrawonga,40,19/07/2018
Colac Specialist School,8,29/06/2018
Good Shepherd College,18,29/06/2018
Ilim College Boys Campus,50,29/06/2018
ECG Pakenham,20,28/06/2018
Alexandra High School,49,27/06/2018
Donvale Christian College,100,25/06/2018
Gladstone Park Secondary College,250,22/06/2018
Damascus College,200,21/06/2018
The Geelong College,150,21/06/2018
Wyndham Central College,100,19/06/2018
Carrum Downs Secondary College,150,18/06/2018
Advance College,55,18/06/2018
St Peter's College (East Campus),101,15/06/2018
St Joseph's College,170,15/06/2018
The knox School,144,15/06/2018
St Peter's College,122,14/06/2018
Elisabeth Murdoch College,236,14/06/2018
Ballarat Christian College,30,13/06/2018
Bayside Christian College,52,12/06/2018
Geelong Lutheran College,43,12/06/2018
William Angliss TAFE,35,05/06/2018
Yea High School,40,01/06/2018
Beaufort Secondary College,22,30/05/2018
Wodonga TAFE,50,24/05/2018
Mount Beauty Secondary College,25,23/05/2018
Marian College Myrtleford,17,23/05/2018
Bright P-12 College,32,23/05/2018
Myrtleford P-12 College,20,23/05/2018
McClelland Secondary College,100,16/05/2018
Mount Lilydale Mercy College,200,14/05/2018
Kaniva College,13,11/05/2018
Nhill College,36,11/05/2018
Warracknabeal Secondary College,29,11/05/2018
Horsham College,119,10/05/2018
Stawell Secondary College,70,10/05/2018
Lauriston Girls' School,85,09/05/2018
Echuca College,90,08/05/2018
Lakeside Lutheran College,26,08/05/2018
Flinders Christian Community College Carrum Downs Campus,76,30/04/2018
East Doncaster Secondary School,262,24/04/2018
Wellington Secondary College,36,23/04/2018
Manangatang P-12 College,10,19/04/2018
Sacre Coeur,91,18/04/2018
Parkdale Secondary College,270,17/04/2018
Djerriwarrh Community and Education Services,30,27/03/2018
Drouin Secondary College,168,26/03/2018
Thomastown Secondary College,80,26/03/2018
Edenhope College,15,23/03/2018
Braemar College,45,23/03/2018
Goroke P-12,9,22/03/2018
Braemar College,45,20/03/2018
Lyndhurst Secondary College,80,19/03/2018
Jackson School,36,27/02/2018
John Fawkner College,120,27/02/2018
Birchip P-12 School,17,20/02/2018
Donald High School,20,19/02/2018
Wycheproof P-12 College,10,19/02/2018
St Catherine's School,82,14/02/2018
Parade College VCAL,45,08/02/2018
Catherine McAuley College,270,07/02/2018
Bendigo TAFE,60,06/02/2018
Padua College,410,06/02/2018
Macleod P-12 College,86,02/02/2018
Camberwell Girls Grammar School,90,30/01/2018
